caseid,v013,v024,v025,v106,v130,v131,v136,v137,v150,v151,v152,v157,v158,v159,v190,v201,v213,v218,v225,v312,v463a,v463b,v463c,v463x,v463z,v501,v504,v505,v511,v613,v621,v701,v704,v714,v716,v730,v743a,v743b,v743d,v743f,v744a,v744b,v744c,v744d,v744e,v745a,v745b,v822,v850a,v812,d101a,d101b,d101c,d101d,d101e,d104,d106,d107,d108,d113,d121,d129,ipv,vio
     0016027 01,3,9,1,2,1,9,2,1,1,2,28,1,2,2,5,1,0,1, ,0,0,0,0,0,1,5, , ,22,3, ,2,91,1,91, , , , , ,0,0,0,0,0,1,0,1, ,0,1,0,1,0,0,0,1,1,0,1,0,2,2,NaN
     0016040 02,4,9,1,3,2,3,3,0,2,1,33,0,0,2,5,1,0,1, ,0,0,0,0,0,1,1,1,0,26,3,1,3,91,1,52,33,1,2,2,2,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,NaN
     0017030 02,3,9,1,3,1,4,4,1,2,1,28,2,2,2,5,1,0,1, ,2,0,0,0,0,1,1,1,0,25,2,1,3,31,1,31,27,2,2,2,2,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
     0017046 02,2,9,1,2,3,6,3,1,2,1,22,0,2,0,4,1,0,1, ,11,0,0,0,0,1,1,1,0,19,3,3,2,91,0,0,22,4,2,2,2,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,NaN
     0017063 02,4,9,1,2,2,3,4,0,2,1,43,0,2,2,5,3,0,2, ,11,0,0,0,0,1,1,1,0,19,3,1,1,76,1,51,43,1,1,1,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,2,4,NaN
     0017079 02,2,9,1,3,1,4,3,1,2,1,23,0,2,2,5,1,0,1, ,3,0,0,0,0,1,1,1,0,20,3,1,3,91,1,91,28,1,2,2,4,0,0,0,0,0,0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,NaN
     0019086 02,3,9,1,2,2,3,4,1,2,1,31,0,2,2,5,2,0,2, ,3,0,0,0,0,1,1,1,0,20,3,1,1,77,1,77,31,2,1,4,4,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,NaN
     0019103 02,6,9,1,1,2,4,2,0,2,1,42,0,0,0,4,0,0,0, ,0,0,0,0,0,1,1,1,0,27,6,1,1, ,1,91,42,2,2,2, ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,NaN
     0020064 02,3,9,1,3,2,6,3,1,2,1,27,1,2,2,5,1,1,1,2,0,0,0,0,0,1,1,1,0,21,3,1,3,35,0,0,27,2,2,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
     0020086 02,4,9,1,1,1,4,4,2,2,1,34,1,2,2,5,3,0,2, ,0,0,0,0,0,1,1,1,0,23,3,1,2,31,0,35,34,2,2,2,2,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0, ,0,0,NaN
