v013,v024,v025,v106,v130,v131,v136,v137,v150,v151,v152,v157,v158,v159,v169a,v171a,v190,v201,v213,v218,v225,v312,v463a,v463b,v463c,v463x,v463z,v501,v504,v505,v511,v613,v621,v701,v704,v714,v716,v730,v743a,v743b,v743d,v743f,v744a,v744b,v744c,v744d,v744e,v745a,v745b,v745c,v745d,v822,v850a,v812,d101a,d101b,d101c,d101d,d101e,d113,d121,d129,s711a,s711b,ipv
4,11,1,1,4,2,6,1,11,2,83,0,0,2,1,0,5,4,0,3,,3,0,0,0,0,1,1,1,0,15,6,2,1,61,1,96,30,2,2,1,2,1,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,1,1,0
3,6,2,1,4,10,5,2,2,1,65,1,2,0,0,0,2,4,1,4,1,0,0,0,0,0,1,1,1,0,18,5,8,0,63,1,63,68,2,2,2,2,0,1,0,0,0,2,2,0,0,1,1,0,1,0,0,0,0,0,0,0,2,1,1
2,6,2,1,4,10,4,2,2,1,34,0,2,0,1,0,3,2,0,2,,3,0,0,0,0,1,1,1,0,16,4,1,3,23,1,63,28,2,2,2,2,0,1,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
2,6,2,1,4,10,4,2,1,2,24,0,2,0,0,0,1,2,0,2,,0,0,0,0,0,1,1,1,2,19,5,2,1,61,0,0,30,4,4,4,4,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,2,1,0
2,6,2,1,4,10,3,2,1,2,24,0,0,0,1,0,4,2,0,2,,11,0,0,0,0,1,1,1,1,20,6,1,0,63,1,63,35,2,2,2,2,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,2,1,2
1,6,2,1,4,10,3,1,1,2,19,0,0,0,1,0,3,1,0,1,,0,0,0,0,0,1,1,2,0,14,4,1,1,52,1,63,22,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,2,1,1,0
6,6,2,0,4,10,2,0,1,2,44,0,0,0,0,0,2,7,0,7,,0,0,0,0,0,1,2,2,2,14,6,8,0,99998,1,63,65,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,2,2,0,2
3,6,2,1,4,10,3,0,1,2,28,0,0,0,0,0,1,1,0,1,,0,0,0,0,0,1,1,1,2,20,4,2,0,63,0,0,63,4,4,2,4,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0
2,6,2,1,4,10,5,2,1,2,22,0,0,0,0,0,2,3,0,3,,0,0,0,0,0,1,1,1,1,13,6,2,1,63,0,0,35,4,4,4,4,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0
6,6,2,0,4,10,4,2,2,1,44,0,0,0,0,0,2,0,0,0,,0,0,0,0,0,1,1,1,0,18,95,8,0,61,1,61,50,2,2,2,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
7,5,2,0,4,5,4,1,1,2,46,0,0,0,0,0,1,11,0,8,,0,0,0,0,0,1,3,,,18,95,,,,1,92,,,,,,1,1,1,1,1,1,1,0,0,8,,0,1,0,0,0,0,0,0,2,2,0,0
1,5,2,0,4,99,3,2,1,2,18,0,0,0,0,0,1,2,0,2,,0,0,0,0,0,1,1,2,0,14,10,3,0,99998,0,0,25,2,2,2,2,0,0,0,0,0,2,2,0,0,8,0,0,1,0,0,0,0,0,0,2,2,0,0
3,5,2,0,4,5,6,3,1,2,25,0,0,0,0,0,1,6,0,5,,0,0,0,0,0,1,1,2,0,13,10,2,0,52,0,0,30,4,4,1,4,1,1,1,1,1,2,0,0,,0,0,0,0,0,0,0,0,0,0,2,2,0,0
5,5,2,0,4,5,8,1,2,1,43,0,0,0,0,0,1,8,0,7,,0,0,0,0,0,1,1,1,0,20,15,2,0,92,0,0,43,4,4,1,4,1,1,1,1,1,2,0,0,,0,0,0,0,0,0,0,0,0,8,2,1,0,0
